"country_id"	"system_source"	"year_source"	"taxon_source"	"level_source"	"code_source"	"system_destination"	"year_destination"	"taxon_destination"	"level_destination"	"code_destination"	"comment"	"expert"
"BR"	"Braziliam System of Soil Classification"	2006	"Latossolo"	1	"L"	"FAO/UNESCO"	1974	"Ferralsol"	1	"FR"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Espodossolo"	1	"E"	"FAO/UNESCO"	1974	"Podzol"	1	"PZ"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Planossolo"	1	"S"	"FAO/UNESCO"	1974	"Planosol"	1	"PL"	"Planosol, Solonetz. Accurate correlation cannot be acchieved using only first level classification."	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Planossolo Nátrico"	2	"SN"	"FAO/UNESCO"	1974	"Solonetz"	1	"SN"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Plintossolo"	1	"F"	"FAO/UNESCO"	1974	"Plinthosol"	1	"PT"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Gleissolo"	1	"G"	"FAO/UNESCO"	1974	"Gleysol"	1	"GL"	"Gleysol, Solonchak. Accurate correlation cannot be acchieved using only first level classification."	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Gleissolo Sálico"	2	"GZ"	"FAO/UNESCO"	1974	"Solonchak"	1	"SC"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Organossolo"	1	"O"	"FAO/UNESCO"	1974	"Histosol"	1	"HS"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Nitossolo"	1	"N"	"FAO/UNESCO"	1974	"Nitisol"	1	"NT"	"Nitisol, Lixisol, Alisol. Accurate correlation cannot be acchieved using only first level classification."	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Neossolo"	1	"R"	"FAO-WRB"	2007	"unkown"	1	"unkown"	"Accurate correlation cannot be acchieved using only first level classification."	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Neossolo Quartzarênico"	2	"RQ"	"FAO-WRB"	2007	"Arenosol"	1	"AR"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Neossolo Regolítico"	2	"RR"	"FAO-WRB"	2007	"Regosol"	1	"RG"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Neossolo Litólico"	2	"RL"	"FAO-WRB"	2007	"Leptosol"	1	"LP"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Neossolo Flúvico"	2	"RY"	"FAO-WRB"	2007	"Fluvisol"	1	"FL"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Vertissolo"	1	"V"	"FAO-WRB"	2007	"Vertisol"	1	"VR"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Cambissolo"	1	"C"	"FAO-WRB"	2007	"Cambisol"	1	"CM"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Chernossolo"	1	"M"	"FAO-WRB"	2007	"Phaeozem"	1	"PH"	"Chernozem, Kastanozem, Phaeozem. Accurate correlation cannot be acchieved using only first level classification."	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Luvissolo"	1	"T"	"FAO-WRB"	2007	"Luvisol"	1	"LV"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Argissolo"	1	"P"	"FAO-WRB"	2007	"unkown"	1	"unkown"	"Alisol, Acrisol, Lixisol. Accurate correlation cannot be acchieved using only first level classification."	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Argissolo Bruno-Acinzentado"	2	"PBAC"	"FAO-WRB"	2007	"Alisol"	1	"AL"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Argissolo Amarelo Alumínico"	3	"PAa"	"FAO-WRB"	2007	"Alisol"	1	"AL"	""	"Alessandro Samuel Rosa"
