Symbol	Name
PBPe	PODZÓLICO BRUNO ACINZENTADO PLANOSSÓLICO Eutrófico
PB	PODZÓLICO VERMELHO AMARELO
PV	PODZÓLICO VERMELHO AMARELO Álico
Pvad	PODZÓLICO VERMELHO AMARELO Álico e Distrófico
PVd	PODZÓLICO VERMELHO AMARELO Distrófico
Pvda	PODZÓLICO VERMELHO AMARELO Distrófico e Álico
Pvde	PODZÓLICO VERMELHO AMARELO Distrófico e Eutrófico
PVe	PODZÓLICO VERMELHO AMARELO Eutrófico
PA	PODZÓLICO VERMELHO AMARELO Eutrófico
Pved	PODZÓLICO VERMELHO AMARELO Eutrófico e Distrófico
PVLd	PODZÓLICO VERMELHO AMARELO Distrófico Latossólico
PEL	PODZÓLICO VERMELHO AMARELO Eutrófico Latossólico
PVLa	PODZÓLICO VERMELHO AMARELO Latossólico Álico
PVLd	PODZÓLICO VERMELHO AMARELO Latossólico Distrófico
PA	PODZÓLICO VERMELHO AMARELO EQUIVALENTE EUTRÓFICO
PE	PODZÓLICO VERMELHO ESCURO Álico
Ped	PODZÓLICO VERMELHO ESCURO Distrófico
Pee	PODZÓLICO VERMELHO ESCURO Eutrófico
PELa	PODZÓLICO VERMELHO ESCURO Latossólico Álico
RE	REGOSSOLO Álico
Red	REGOSSOLO Distrófico
Ree	REGOSSOLO Eutrófico
RZ	RENDZINA
SK	SOLONCHACK
SK	SOLONCHACK SÓDICO
SKS	SOLONCHACK SÓDICO
SS	SOLONETZ SOLODIZADO
TB	TERRA BRUNA ESTRUTURADA Eutrófica
TBRa	TERRA BRUNA ESTRUTURADA intermediária TERRA ROXA ESTRUTURADA Álica
TBVa	TERRA BRUNA ESTRUTURADA intermediária PODZÓLICO VERMELHO ESCURO Álica
TBCHA	TERRA BRUNA ESTRUTURADA intermediária PODZÓLICO BRUNO ACINZENTADO HÚMICO Álica
TR	TERRA ROXA ESTRUTURADA Eutrófica
Trd	TERRA ROXA ESTRUTURADA Distrófica
Ter	TERRA ROXA ESTRUTURADA Eutrófica
TRLe	TERRA ROXA ESTRUTURADA Eutrófica Latossólica
TSLe	TERRA ROXA ESTRUTURADA SIMILAR Eutrófica Latossólica
TSd	TERRA ROXA ESTRUTURADA SIMILAR Distrófica
Tse	TERRA ROXA ESTRUTURADA SIMILAR Eutrófica
V	VERTISSOLO
VS	VERTISSOLO Solódico
