country_id	system_source	year_source	taxon_source_1990	level_source	code_source	system_destination	year_destination	taxon_destination_BR2006	level_destination	code_destination	comment	reference	expert
BR	Braziliam System of Soil Classification	1990	Regossolo	1	unknown	Braziliam System of Soil Classification	2006	Neossolo Regolítico	2	RR			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Solo Aluvial	1	unknown	Braziliam System of Soil Classification	2006	Neossolo Flúvico	2	RY			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Areia Quartzosa	1	unknown	Braziliam System of Soil Classification	2006	Neossolo Quartzarênico	2	RQ			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Terra Roxa Estruturada	2	unknown	Braziliam System of Soil Classification	2006	Nitossolo	1	N	Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Terra Roxa Estruturada Similar	2	unknown	Braziliam System of Soil Classification	2006	Nitossolo	1	N	Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Terra Bruna Estruturada	2	unknown	Braziliam System of Soil Classification	2006	Nitossolo	1	N	Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Terra Bruna Estruturada Similar	2	unknown	Braziliam System of Soil Classification	2006	Nitossolo	1	N	Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Solo Orgânico	1	unknown	Braziliam System of Soil Classification	2006	Organossolo	1	O			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Solo Semi-Orgânico	1	unknown	Braziliam System of Soil Classification	2006	Organossolo	1	O			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Solo Tiomárfico Turfoso	2	unknown	Braziliam System of Soil Classification	2006	Organossolo	1	O			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Planossolo	1	unknown	Braziliam System of Soil Classification	2006	Planossolo	1	S			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Solonetz-Solodizado	1	unknown	Braziliam System of Soil Classification	2006	Planossolo Nátrico	2	SN			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Laterita Hidromórfica	2	unknown	Braziliam System of Soil Classification	2006	Plintossolo	1	F			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Porzólico Plíntico	2	unknown	Braziliam System of Soil Classification	2006	Plintossolo	1	F			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Glei Húmico Plíntico	3	unknown	Braziliam System of Soil Classification	2006	Plintossolo	1	F			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Glei Pouco Húmico Plíntico	3	unknown	Braziliam System of Soil Classification	2006	Plintossolo	1	F			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Latossolo Plíntico	2	unknown	Braziliam System of Soil Classification	2006	Plintossolo	1	F			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Vertissolo	1	unknown	Braziliam System of Soil Classification	2006	Vertissolo	1	V			Alessandro Samuel Rosa
